"Name","Kind","File","Line","RefCount","Risk"
"__init__","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2815","17","Medium Risk"
"_patch_missing_localizer","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2833","2","Medium Risk"
"DRN","py-class","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2858","4","Safe"
"_crop_person","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2863","2","Medium Risk"
"_extract_label_scores","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2883","2","Medium Risk"
"_to_behavior_hint","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2900","2","Medium Risk"
"kind","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2909","0","Critical"
"kind","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2911","0","Critical"
"update_and_predict","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2914","2","Medium Risk"
"recent_hint","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2917","7","Medium Risk"
"reset","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2970","63","Medium Risk"
"open_capture","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2980","3","Medium Risk"
"webcam","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2981","0","Critical"
"rtsp","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","2989","0","Critical"
"FallAlarmApp","py-class","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3002","2","Safe"
"__init__","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3003","17","Medium Risk"
"_maybe_autostart_on_launch","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3070","2","Medium Risk"
"_set_status","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3116","5","Medium Risk"
"apply_status","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3119","3","Medium Risk"
"_timeline_now","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3138","2","Medium Risk"
"_reset_detection_state","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3143","5","Medium Risk"
"_prune_recent_fall_events","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3168","3","Medium Risk"
